study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,StudyText.stopped,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Case,0,0,0,1,9.4429793,,,,,,,,,,,,0,0,0,10,,,,,0.0303739,,0.0109266,0.0303739,0.0303739,8.0226449,9.4605892,1,9.4429793,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
phone,1,1,0,1,1.739887,,,,,,,,,,,,0,1,1,2,,,,,9.4733011,,9.4641642,9.4733011,9.4733011,,11.2105617,1,1.739887,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
marble,2,2,0,1,1.1152041,,,,,,,,,,,,0,2,2,3,,,,,11.2230916,,11.2137036,11.2230916,11.2230916,,12.3353348,1,1.1152041,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
cushion,3,3,0,1,1.1724232,,,,,,,,,,,,0,3,3,1,,,,,12.348229,,12.3371024,12.348229,12.348229,,13.5221956,1,1.1724232,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
Laptop,4,4,0,1,1.1284515,,,,,,,,,,,,0,4,4,5,,,,,13.5354398,,13.5255391,13.5354398,13.5354398,,14.660768,1,1.1284515,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
book,5,5,0,1,1.8678189,,,,,,,,,,,,0,5,5,0,,,,,14.6732051,,14.6622374,14.6732051,14.6732051,,16.5370197,1,1.8678189,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
mouse,6,6,0,1,4.4426833,,,,,,,,,,,,0,6,6,8,,,,,16.5491807,,16.5386787,16.5491807,16.5491807,,20.9938591,1,4.4426833,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
Keys ,7,7,0,1,0.9773319,,,,,,,,,,,,0,7,7,13,,,,,21.007535,,20.9971513,21.007535,21.007535,,21.9873123,1,0.9773319,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
Police,8,8,0,1,1.059264,,,,,,,,,,,,0,8,8,12,,,,,22.0003126,,21.9911144,22.0003126,22.0003126,,23.0637798,1,1.059264,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
Poster,9,9,0,1,0.8367704,,,,,,,,,,,,0,9,9,14,,,,,23.0768343,,23.0666751,23.0768343,23.0768343,,23.910704,1,0.8367704,,,,,,,,,,,,,,,868058,1,2025-10-22_16h08.03.162,Word Priming,2024.2.4,144.8131548,2025-10-22 16h08.25.976501 +0530
