study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Police,0,0,0,1.053333333,2.8542059,,,,,,,,,,,,0,0,0,12,,,,,0.0318186,,0.0222791,0.0318186,0.0318186,2.8841526,1.053333333,2.8542059,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
Poster,1,1,0,1.026666667,2.3883348,,,,,,,,,,,,0,1,1,14,,,,,2.9030338,,2.8877922,2.9030338,2.9030338,5.2853081,1.026666667,2.3883348,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
phone,2,2,0,1.026666667,1.3973574,,,,,,,,,,,,0,2,2,2,,,,,5.304701,,5.2892343,5.304701,5.304701,6.696231,1.026666667,1.3973574,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
book,3,3,0,1.026666667,1.369743,,,,,,,,,,,,0,3,3,0,,,,,6.7153425,,6.6981026,6.7153425,6.7153425,8.0767371,1.026666667,1.369743,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
Keys ,4,4,0,1.026666667,1.0385243,,,,,,,,,,,,0,4,4,13,,,,,8.0959859,,8.0801707,8.0959859,8.0959859,9.1275566,1.026666667,1.0385243,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
Pastry,5,5,0,1.046666667,1.0576016,,,,,,,,,,,,0,5,5,9,,,,,9.1459395,,9.1309873,9.1459395,9.1459395,10.1978439,1.046666667,1.0576016,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
marble,6,6,0,1.046666667,1.1595338,,,,,,,,,,,,0,6,6,3,,,,,10.2174953,,10.2001705,10.2174953,10.2174953,11.368624,1.046666667,1.1595338,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
Laptop,7,7,0,1.046666667,1.0486225,,,,,,,,,,,,0,7,7,5,,,,,11.3875333,,11.3719568,11.3875333,11.3875333,12.4292682,1.046666667,1.0486225,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
mouse,8,8,0,1.046666667,1.0692396,,,,,,,,,,,,0,8,8,8,,,,,12.4478375,,12.4315772,12.4478375,12.4478375,13.5094322,1.046666667,1.0692396,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
Cruise,9,9,0,1.046666667,1.2198423,,,,,,,,,,,,0,9,9,11,,,,,13.5288048,,13.5115079,13.5288048,13.5288048,14.7405441,1.046666667,1.2198423,,,,,,,,,,,,,,,567882,1,2025-10-22_13h22.03.307,Word Priming,,2025.1.1,99.81544123,2025-10-22 13h22.08.265034 -0400
