study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,StudyText.stopped,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Laptop,0,0,0,1,10.4062604,,,,,,,,,,,,0,0,0,5,,,,,0.0373056,,0.0195919,0.0373056,0.0373056,8.0302261,10.4327168,1,10.4062604,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Case,1,1,0,1,0.2193828,,,,,,,,,,,,0,1,1,10,,,,,10.4454134,,10.4361935,10.4454134,10.4454134,,10.6617365,1,0.2193828,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Cruise,2,2,0,1,1.8441101,,,,,,,,,,,,0,2,2,11,,,,,10.6743386,,10.6649261,10.6743386,10.6743386,,12.5156734,1,1.8441101,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
book,3,3,0,1,1.4850233,,,,,,,,,,,,0,3,3,0,,,,,12.5285994,,12.5172875,12.5285994,12.5285994,,14.0089384,1,1.4850233,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Pastry,4,4,0,1,0.9680254,,,,,,,,,,,,0,4,4,9,,,,,14.0216846,,14.0130461,14.0216846,14.0216846,,14.9876901,1,0.9680254,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Police,5,5,0,1,1.0053399,,,,,,,,,,,,0,5,5,12,,,,,15.0001227,,14.9892968,15.0001227,15.0001227,,16.0014012,1,1.0053399,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
phone,6,6,0,1,1.1970357,,,,,,,,,,,,0,6,6,2,,,,,16.0139531,,16.0058762,16.0139531,16.0139531,,17.209427,1,1.1970357,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Chart,7,7,0,1,1.4918552,,,,,,,,,,,,0,7,7,6,,,,,17.2221104,,17.2111206,17.2221104,17.2221104,,18.7092855,1,1.4918552,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
marble,8,8,0,1,1.0261901,,,,,,,,,,,,0,8,8,3,,,,,18.7222447,,18.7109787,18.7222447,18.7222447,,19.7439229,1,1.0261901,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
board,9,9,0,1,0.9694999,,,,,,,,,,,,0,9,9,4,,,,,19.7564529,,19.7469565,19.7564529,19.7564529,,20.722959,1,0.9694999,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Keys ,10,10,0,1,1.0104746,,,,,,,,,,,,0,10,10,13,,,,,20.7355583,,20.7264818,20.7355583,20.7355583,,21.7436577,1,1.0104746,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
T-shirt,11,11,0,1,1.0030428,,,,,,,,,,,,0,11,11,7,,,,,21.7562905,,21.748633,21.7562905,21.7562905,,22.7575397,1,1.0030428,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
cushion,12,12,0,1,1.1025178,,,,,,,,,,,,0,12,12,1,,,,,22.7702672,,22.7591225,22.7702672,22.7702672,,23.868573,1,1.1025178,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
Poster,13,13,0,1,1.0191089,,,,,,,,,,,,0,13,13,14,,,,,23.8811863,,23.8702115,23.8811863,23.8811863,,24.8959896,1,1.0191089,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
mouse,14,14,0,1,0.977882,,,,,,,,,,,,0,14,14,8,,,,,24.908612,,24.8975692,24.908612,24.908612,,25.8818067,1,0.977882,,,,,,,,,,,,,,,659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
,0,0,0,,,bo_t_e,Bottle,new,bottle,[-0.13],[-0.2866666666666667],[1],[0],[0],[32.72299589996692],['submit_text'],,,,,0,0,0,18,25.9016417,,,,,,,,,25.8906292,25.9016417,25.9016417,25.9016417,0.0088314,58.6141245,bottle,[-0.13],[-0.2866666666666667],[1],[0],[0],[32.72299589996692],['submit_text'],659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
,1,1,0,,,K_y_,Keys,old,Keys,[-0.13],[-0.2866666666666667],[1],[0],[0],[6.873733400017954],['submit_text'],,,,,0,1,1,8,58.6263326,,,,,,,,,58.6156649,58.6263326,58.6263326,58.6263326,0.001455,65.4899544,Keys,[-0.13],[-0.2866666666666667],[1],[0],[0],[6.873733400017954],['submit_text'],659857,1,2025-10-22_15h53.25.243,Word Priming,2024.2.4,144.9248058,2025-10-22 15h53.34.612339 +0530
